Company,Bucket,Posted,Days,New,Role,Location,Link,ReqId,FacetsUsed
BlackRock,today-yesterday,Posted Today,0,False,"VP, Third Party Data Oversight",2 Locations,https://blackrock.wd1.myworkdayjobs.com/en-US/BlackRock_Professional/job/Mumbai-India/VP--Third-Party-Data-Oversight_R265022-1,/job/Mumbai-India/VP--Third-Party-Data-Oversight_R265022-1,{}
Capital One,today-yesterday,Posted Today,0,True,Applied Researcher I (AI Foundations),4 Locations,https://capitalone.wd12.myworkdayjobs.com/en-US/Capital_One/job/New-York-NY/Applied-Researcher-I--AI-Foundations-_R237204,/job/New-York-NY/Applied-Researcher-I--AI-Foundations-_R237204,{}
Capital One,today-yesterday,Posted Today,0,True,Applied Researcher II (AI Foundations),4 Locations,https://capitalone.wd12.myworkdayjobs.com/en-US/Capital_One/job/New-York-NY/Applied-Researcher-II--AI-Foundations-_R237207,/job/New-York-NY/Applied-Researcher-II--AI-Foundations-_R237207,{}
Capital One,today-yesterday,Posted Today,0,False,Distinguished Engineer,"Bangalore, In",https://capitalone.wd12.myworkdayjobs.com/en-US/Capital_One/job/Bangalore-In/Distinguished-Engineer_R236799,/job/Bangalore-In/Distinguished-Engineer_R236799,{}
Capital One,today-yesterday,Posted Today,0,True,"Lead AI Engineer (AI Foundations, LLM Core and Agentic AI)",5 Locations,https://capitalone.wd12.myworkdayjobs.com/en-US/Capital_One/job/New-York-NY/Lead-AI-Engineer--AI-Foundations--LLM-Core-and-Agentic-AI-_R229393-1,/job/New-York-NY/Lead-AI-Engineer--AI-Foundations--LLM-Core-and-Agentic-AI-_R229393-1,{}
Capital One,today-yesterday,Posted Today,0,True,Lead AI Engineer (MLX),5 Locations,https://capitalone.wd12.myworkdayjobs.com/en-US/Capital_One/job/New-York-NY/Lead-AI-Engineer--MLX-_R238832-1,/job/New-York-NY/Lead-AI-Engineer--MLX-_R238832-1,{}
Capital One,today-yesterday,Posted Today,0,True,"Senior Lead AI Engineer (AI Foundations, LLM Core and Agentic AI)",5 Locations,https://capitalone.wd12.myworkdayjobs.com/en-US/Capital_One/job/New-York-NY/Senior-Lead-AI-Engineer--AI-Foundations--LLM-Core-and-Agentic-AI-_R229412-1,/job/New-York-NY/Senior-Lead-AI-Engineer--AI-Foundations--LLM-Core-and-Agentic-AI-_R229412-1,{}
Capital One,today-yesterday,Posted Today,0,True,Senior Lead AI Engineer (Gen AI Platform Services),3 Locations,https://capitalone.wd12.myworkdayjobs.com/en-US/Capital_One/job/San-Jose-CA/Senior-Lead-AI-Engineer--Gen-AI-Platform-Services-_R236301-1,/job/San-Jose-CA/Senior-Lead-AI-Engineer--Gen-AI-Platform-Services-_R236301-1,{}
Capital One,today-yesterday,Posted Today,0,True,"Senior Lead Software Engineer, Full Stack (Global Payment Network)",3 Locations,https://capitalone.wd12.myworkdayjobs.com/en-US/Capital_One/job/Houston-TX/Senior-Lead-Software-Engineer--Full-Stack--Global-Payment-Network-_R247699-1,/job/Houston-TX/Senior-Lead-Software-Engineer--Full-Stack--Global-Payment-Network-_R247699-1,{}
Capital One,today-yesterday,Posted Today,0,False,Sr. Lead Software Engineer,"Bangalore, In",https://capitalone.wd12.myworkdayjobs.com/en-US/Capital_One/job/Bangalore-In/Sr-Lead-Software-Engineer_R236901-1,/job/Bangalore-In/Sr-Lead-Software-Engineer_R236901-1,{}
